Tag,Name,Action
"0002, 0012",Implementation Class UID,empty
"0002, 0013",Implementation Class UID,removed
"0002, 0016",Source Application Entity Title,removed
"0002, 0100",Private Information Creator UID,empty
"0002, 0102",Private Information,empty
"0010, 0010",Patient's Name,removed
"0010, 0020",Patient ID,removed
"0010, 0021",Issuer of Patient ID,empty
"0010, 0022",Type of Patient ID,empty
"0010, 0030",Patient's Birth Date,empty
"0010, 0032",Patient's Birth Time,empty
"0010, 0050",Patient's Insurance Plan Code Sequence,removed
"0010, 0101",Patient's Primary Language Code Sequence,removed
"0010, 0102",Patient's Primary Language Code Modifier Sequence,removed
"0010, 1000",Other Patient IDs,empty
"0010, 1001",Other Patient Names,empty
"0010, 1002",Other Patient IDs Sequence,removed
"0010, 1005",Patient's Birth Name,empty
"0010, 1040",Patient's Address,empty
"0010, 1050",Insurance Plan Identification (RET),empty
"0010, 1060",Patient's Mother's Birth Name,empty
"0010, 1080",Military Rank,empty
"0010, 1081",Branch of Service,empty
"0010, 1090",Medical Record Locator,empty
"0010, 2150",Country of Residence,empty
"0010, 2152",Region of Residence,empty
"0010, 2154",Patient's Telephone Numbers,empty
"0010, 2160",Ethnic Group,empty
"0010, 2180",Occupation,empty
"0010, 21b0",Additional Patient History,empty
"0010, 21c0",Pregnancy Status,empty
"0010, 21d0",Last Menstrual Date,empty
"0010, 21f0",Patient's Religious Preference,removed
"0010, 2202",Patient Species Code Sequence,removed
"0010, 2203",Patient's Sex Neutered,empty
"0010, 2293",Patient Breed Code Sequence,removed
"0010, 2294",Breed Registration Sequence,removed
"0010, 2295",Breed Registration Number,empty
"0010, 2296",Breed Registry Code Sequence,removed
"0010, 2297",Responsible Person,empty
"0010, 2298",Responsible Person Role,empty
"0010, 2299",Responsible Organization,empty
"0008, 0080",Institution Name,empty
"0008, 0081",Institution Address,empty
"0008, 0082",Institution Code Sequence,removed
"0008, 0090",Referring Physician's Name,empty
"0008, 0092",Referring Physician's Address,empty
"0008, 0094",Referring Physician's Telephone Numbers,empty
"0008, 0096",Referring Physician Identification Sequence,removed
"0008, 0116",Responsible Organization,empty
"0008, 1048",Physician(s) of Record,empty
"0008, 1049",Physician(s) of Record Identification Sequence,removed
"0008, 1050",Performing Physician's Name,empty
"0008, 1052",Performing Physician Identification Sequence,removed
